example_family,records,minimum_card_price_usd,maximum_card_price_usd,ever_returned,record_ids
unclassified by example rules,378,3.02,15939.00,6,bing-07480f3860f81c3bf846;bing-b9b7a59bbbcb3df0040f;bing-75167d27d9e7b7705731;bing-7b8c5d6573053e763784;bing-bbda9ee931b5047e6b26;bing-443396ca95ba379d7b72;bing-0cf24f81d351da49ed76;bing-bb6e2faa6e405495efa2;bing-6109d59edb136f42c58d;bing-07838e525c9b32069dd4;bing-fb03ce4c1a4af99606c7;bing-6d40f0eb6ccb71d2d6f5;bing-9c1b19126135d499f0d4;bing-6d2c5f1927eefa5910e8;bing-74e0ec1d3ab1ac41062c;bing-2bf4c80c2bb57272c586;bing-d4e6eb7ab90739f4dedb;bing-c3b5a1e881e3c5f9abdf;bing-72438b29a66055ffa38c;bing-57ea26bbc60418c5fcca;bing-3a767fdb1b27d5f6e581;bing-0226c96ea747e414d014;bing-7a4dd894626cdd1838bb;bing-4aee767a3edd2388f496;bing-637dfaa955608edee186;bing-489bd0a3c698912610b5;bing-795763ee62a6dc87d9e3;bing-7f3f111cbee269ee207a;bing-12afdfa524d0449cc966;bing-f3362249ad9b2fc5a85f;bing-e141ee676b2d57374c79;bing-8769c23a94c64e5e2c67;bing-411e912414f5df20244c;bing-ac43c805e3f355ff97dc;bing-49780aca1fc849f7c953;bing-c51b817a2f4f21e410ac;bing-53824f476ba2160bfcc7;bing-88be3fcf832ba81e5557;bing-b957b9125e5d4f40d253;bing-78ab0dec86e6470f5227;bing-78a4158303ba5999efdb;bing-f12e169290a9c9b84123;bing-8d114b228c5020df8efd;bing-c6bdaa0d1469b8604073;bing-716096b1835e7feacc70;bing-b79dd022ff37659d63c9;bing-a15d1f38b1dc51ed7985;bing-c47ac48a6480f94b7fe3;bing-246d156a6e0b551087f6;bing-bf04f82902a2e86eb9a0;bing-a8943b6c1b0ab8bf519e;bing-8d1593f348876cb46024;bing-745ad3d683396190aa8b;bing-043b3bd9fefe3549a699;bing-235d6f87aeaf484b667c;bing-26e29f79435e25dff4d5;bing-66feec58aea71a4dcd4a;bing-cc603daf376c2da258aa;bing-c19fa05391f0fce29eba;bing-7aee0d3e082e29c65aad;bing-da122d4ff0491fe8f7b7;bing-66706af26cfa11b9a25e;bing-8950e5add26a7c27a04b;bing-bd565533f9ad73c5b2f9;bing-3612cc60a603cc2a121e;bing-fde37665dcb51cf20288;bing-2533308e2e98b121aa7c;bing-cb2691cc12932a344507;bing-8f10d51014cf65585106;bing-da2ad966a94911e550e6;bing-642b3aa66942aa92919f;bing-fa4b67e72a20363a3a83;bing-279eae4c2ca43329b99d;bing-fccd193ca26cd84354d0;bing-b12fe1c8799d05fb17db;bing-598a25770e0646e11052;bing-7cfc23a4d72ab8cddc12;bing-06ecaee9987908e939f7;bing-0ad455c532a1a56440eb;bing-2253f3f1a1db82e39a09;bing-6ef1889ee70cba19d8b6;bing-66be295b3b74afa89027;bing-2c2f1fbf5b6cb7437e5f;bing-891bc38dc8624017a975;bing-d07c4f63d528c13b73b4;bing-43d976648909711515b7;bing-8fa3d2e2f68153f6ceb7;bing-c6fb2f544f58efa54ddf;bing-aec05e7b187dcd09b99b;bing-433d82ce40e1ab37058d;bing-12c11efcac9385635a63;bing-0d72a0b33c2281fdb579;bing-1d87ad748e0d8087a595;bing-149398435225d78bbcdf;bing-ae7d0b6a74c258277a6b;bing-6f3c8429d6f8100d9502;bing-f98873611a65ecad76e9;bing-21f0df6edf908a377e97;bing-bed8b9364df3756f1388;bing-7df661c69ff5be07d0e8;bing-b546aa5fcf249468f3a9;bing-1645eae370aa2faace49;bing-62318854f139fa1c490b;bing-daeae43d27e5dd10228b;bing-ca5eefefe326fb47e3c5;bing-659c2419f68e515b5ea1;bing-95c801faa933fa80fa2f;bing-9376c46c5715455a89a8;bing-c9e92de32f7c005c9063;bing-84504958dc45121db337;bing-484346c6e71773b55ed8;bing-b9ca4f144966ffa80d50;bing-69d809365143dac63ce7;bing-e7569e81edd2aa63ebf6;bing-e5e65f383212602c134a;bing-16f171fcd3e63a99145c;bing-a38daf4ec239b5de91f2;bing-d3b82fcfff13c8b299ec;bing-b68a44ab2e6dce9505e4;bing-77ecbaaea4422b27ebd2;bing-650e72bfbd0529a0fad9;bing-5c573e151a5e130f2b17;bing-62c55277afa7c9def0ae;bing-d5c054cfa057e1200cec;bing-45df535a6538f17ec596;bing-37603560287532676303;bing-2c7fd72b67d02a9c40b7;bing-9528fae1057b8fcddbe4;bing-48d85206b2f6bb0f46b5;bing-055cbff8c048a4c9d7eb;bing-5b426604604b64a6f45e;bing-b3eaacf0d2a9b00129d7;bing-2e1992678e4b3cc397cf;bing-7cf8e25d54f8f13837ea;bing-be9acd3b57af42dc7201;bing-1bc8c4b40e1fc6608024;bing-a5cf3e406b4e98040e3d;bing-b4d4abd322b8f86ded33;bing-1145140c1cad9c8a3854;bing-bbfdf55a3dfc577242a0;bing-ec64f424891a84c25713;bing-afb3799263a2f1944e3c;bing-5d80b155b8bf02ad01c8;bing-df4863018c6bb78f619f;bing-af4381543fc3358cbc99;bing-246f22a91ef18e791931;bing-1a1c7a2df17d7704e2d2;bing-ba2ed46f3cb385cc4bcd;bing-2a2568053bd382f24e11;bing-1f73ca6b2627c80953ab;bing-5b9721c9fef1682a8896;bing-d148977634cae94407e1;bing-a5e51370a436aee3a09f;bing-e82d7d3daa78fb0ea24f;bing-b997648e7ebaeec1d065;bing-88861fd3ac70636d0f01;bing-21f4507db4524b6f110d;bing-d4cc2e178191b45a9ffe;bing-7f074fd7f5098da55a2f;bing-fd799ec559b96859a907;bing-063fe9f1ec58075eb29c;bing-4d52fe1ce90459ddb944;bing-88b2fb0f8fa23d2b30c3;bing-d85a73186ce60874f478;bing-48aa0b988a723cf4bff5;bing-0657ba812f13dda229e0;bing-d076fdd636743915cbcb;bing-d637fc26697e448504ca;bing-1cf942e72c88bb4c26ae;bing-2c114e374a5d97e62a03;bing-b8ae01aae604a45b6ba4;bing-9540b9727223649767ed;bing-950a0876d102784230a9;bing-eea802e12ca612532ff1;bing-fffb6c340707640b02d2;bing-0cdfc3ea9e21a6cae8ad;bing-0627f04cacb99efe0ae1;bing-7aa21957e08734827957;bing-480ee1adf2ad41cddecf;bing-0f2e29dd363a3f45ad19;bing-55c2201c9265b3990a9b;bing-01e7324cb0bb9043b927;bing-7a3d2192b8032c95049a;bing-768274d734cd0e80217a;bing-b22c0cf075ceb7902e3e;bing-f7b8756b0d864f1aa445;bing-9c2c445fa8a7570fa3de;bing-b60cfc5370f4347502b9;bing-a7f2abfe67183aabe0c9;bing-f3b9a48a7b8e5ca3692c;bing-37bf52a3e8952cd57186;bing-77ffa67c181d6c3612d6;bing-bff99be52e4bd9ed435a;bing-709ce78070198e6c89b4;bing-053eb914e719f87577e4;bing-78e0c6bc6dd3cdb9f438;bing-d453696aa0bb764740b7;bing-d1b779f2b00805c4ef05;bing-de5b6cb4291aec05026e;bing-1241690f64fc237f5f67;bing-1451fd56310971330833;bing-89ce0417668a60045fe5;bing-69405129c2609cc887ac;bing-a80660fd26ac37f0934c;bing-b4a4a54f521cb809db06;bing-33af8dba05d89a0e86c9;bing-7e46371cb5b9552640b4;bing-a7aa441d00b13fcc252f;bing-76b5c192d64860507557;bing-06a37d55b34221baed4a;bing-9b1ab71c68cd0c12e329;bing-6d0d1484fc4370a3a462;bing-28efb932a72fcd5a1556;bing-4a0ad7ee5eae1072ce3f;bing-a47a42f3da93ecb1520c;bing-91b7b103c412c519e3a7;bing-c7a752a6e40d3bcbf661;bing-047e8070cc2bbd724ae2;bing-208365445dc00b4cbbf6;bing-61decbbb528fa464f8d3;bing-c8b8dcf2d074b0dcb9ed;bing-63dbd0a2a3fd2deec19f;bing-d3aaab6bb9bdbb0ba72a;bing-1dd392a01e715db007bd;bing-86b37371ef27345c4dcc;bing-7887b55a520e19949fb3;bing-624710342e578c8452a3;bing-0dbc94609b804b9bc78c;bing-1319fc13b8a8ec4632a0;bing-6682bbef1dd893115088;bing-4dc5b8e2ee15522d6952;bing-7d6530ba5a01aa92c129;bing-b4c7ed14dbba8b6d550c;bing-4ed87dfed4540f3f409c;bing-5963e05d24b87ba08d9e;bing-555c889123cc8589e9f1;bing-46aeeb9c07398184ea88;bing-ce34330d6ac085f4326c;bing-4d8b5ffd6453f1c28447;bing-a75dd746990e219179ad;google-689c3dc5eb84ca0ea6a9;google-927aa0cbd12c9dd871be;google-093ec7415b0297f54798;google-fd471507f3507f60e2c5;google-9f5c0b2033b9a5b838b3;google-7008e45b66b4d776a130;google-a24964046c8abefc9c71;google-3e0e1bd5e6c6b143e0eb;google-deddf6d8df156ac11d4f;google-09ab220c662fb70ce7c9;google-ae498ae8f614607c236a;google-4d53fd2ce8be21625019;google-4cac610ce4e4d1376e1a;google-9fe04acd49cb549f5408;google-062c372f4deabe1399f0;google-8dec8ad49b7949773f22;google-afff0c4dc2bebb7a1122;google-0bd16a178cc0bfc594cd;google-9071502a3f1d326b6738;google-66031605de74aad8da51;google-91161e46ef2dad7f708d;google-e7d3b62fa8e758b23bca;google-6b88fcbcf908d96468f2;google-7a62c33c2d2753dc346a;google-7ca7479d2dbbeadb3230;google-4a1c534628780905e756;google-ce567872f47704a0f42f;google-7013fa1746e456ff626b;google-36fa0efde517b5d7fda8;google-8bbde86ff3f4e659e021;google-f9ceba2e59999d43cab5;google-dc0d04709783b322616b;google-e330ec1bb31d6723d074;google-1fb95f4aec8a1d774f47;google-2f0e3fe6ce9327efd599;google-e405f9c71a7f83b9074e;google-cafe28979b07d09cdb70;google-08d47bfb07f6fca45197;google-b063db752a738d4653f3;google-858aadeff0460f696c46;google-e6beb424762e82f2edc6;google-56ed4c5e9815df68a50f;google-2e0bb75620d183cc5b2e;google-794ba498120c1bf382fc;google-b3deff288f5bfa809c8d;google-e2be2135b7e0b258bf1b;google-4875e707ae51cf9708c5;google-23e477c33645a2a7a715;google-972d029bf0fe420d074f;google-22957896c23975498194;google-a1fa77a9296a3fc86214;google-b9240794f87414ac9b52;google-da6c9f300bfd52910b07;google-0a53a7c0d50dce8f24f0;google-41cce1d48c4168bba830;google-a51e3b69a8d18760592b;google-418d55cd3381c3e302e5;google-f71f913730a4213addaa;google-688de6d8505cd7fa21e6;google-31314cb71c4f522ca7e0;google-2c141471a1b0d94b0198;google-124a65d4d5e878e3b744;google-5eae437f99f95c0cfab5;google-71c091bb59b20f9c0626;google-72e4a2730270bda181cf;google-ceb6c802131f2c0a0c32;google-27958e0bd30f2ca6b1cd;google-9bf6797c08db52ba0330;google-be23c2f4af300537b351;google-6c04be305bc1c7a5efe4;google-c7a4b049f172d170254e;google-403d0092fc323bd2b014;google-2f01d4dd3d804ad5ef6d;google-9a0106badacf87fa4004;google-0b96e3357c507c052986;google-d2a9f521b103ac780dec;google-684f55f0fd73e06c81a1;google-8d065cc2193132e586a6;google-83a39eb25e3b9596486c;google-13e3688e0b4cbee612d7;google-516dc55f9a15f525e090;google-efeeee84cfdd60bb3f9e;google-d018a57ee7ca110bb2df;google-675a9624b9e8b8f29da2;google-586496d12e24aac97026;google-758185a42db7f3ef3335;google-13191f97f3925dc64a75;google-c624a8181e4b62588e55;google-a342fef85d2a9edcf811;google-b281aff655c4587b1b31;google-c167547e5bf7ad542933;google-d7f1bf907439cbc01ccb;google-2e4cfb87414d94720a62;google-67d5a96ce48ce2def910;google-4900e7d2e07f01a8847e;google-7350f2c0ce2972fc0201;google-f272439695d3d03d1fba;google-b617b7c5efb50c1dacfb;google-c2b477d15eab359948b3;google-e9bbae1b2b521a845cc4;google-8538d051a8cf1187bb25;google-53de4cc1e21d2d3ada90;google-305127c8948e5c076f69;google-9441eed81c779f9e1a1b;google-932d74d84c2773131aca;google-09492f4f47529dc6ba33;google-be983c68fb5880d5406d;google-125fd27d92958fe5d564;google-f6b357dd7fd5cc57da54;google-5b5a4baeb5e35f129567;google-7bc17db230d1ef21398b;google-b43381b54c6fbf2e4da3;google-e6c2cc116062e346f461;google-01649c5aaee6ce640d89;google-486eb9e5ef5e00a5796c;google-542b15fda49f4132dba1;google-642b3bf41784b0490975;google-58a42e1783bebc9852a2;google-c686262d94e93b579abf;google-ec64fc84795fb1a81c2b;google-f8c8696d4a46067f44bb;google-08f258304079d5b45ff2;google-b42ae289c6bdeda83126;google-e9dba9582661875ea431;google-ac7541f48ebbffd59afa;google-3b13253bf16a1b85dd55;google-e7cacfa60a59a5ab65df;google-bce4606263ab4014e728;google-05d3c61841495e6c0a82;google-90cd25bcc5bf98680b0a;google-a3f40ecb011a6c7eace8;google-fc437dae8208bd8953fc;google-b20da021a0871fea91fd;google-28d0317f932cec894c4b;google-53fc3afe2050c60f7113;google-a59639f97302f46c9a8c;google-01869a8682e69e653058;google-55cbde01fc5e866cb737
Breville Barista Express Impress,9,649.95,649.99,3,bing-b0b0640a5c59be533102;bing-d8cd0103f86807cbe054;bing-d2b74b50a379b8bf71a0;google-6075be09309c1cedfa75;google-409454c99783973698a7;google-04f19fd9aa585f2a9040;google-ae16f17e37b151e3a9fd;google-685be5d79a31ad7bf48c;google-1c1b755ef5c7e0f05cae
Breville Barista Touch (other),9,969.00,999.99,0,bing-e9db694df748b75fa74c;bing-306ad71c318b0d82c61b;bing-af3bf359615054d01c62;bing-e2ea8284664c99f1318a;google-f672799d4177b5d361e3;google-d5e12a594869aa3d85ed;google-a6e2a72b78258271e2f3;google-123aa3f214b07858a4f4;google-84e7524f5c3aa8153a3d
Breville Bambino (other),7,93.45,299.95,3,bing-a495b0272b1d91934b46;bing-5cb15bf925264f5f7c79;google-54752d3ce9bd4e4903b7;google-977666da80b52a214754;google-e6c59526c1b98a2fbc3c;google-3b66cec49c3013bc150d;google-219bac14f0ed751d4bed
Philips Baristina,7,267.34,499.95,0,bing-2946e532dd33748dfc74;bing-35cfa4192e643d29aa58;bing-61d666a62b526bc49e45;google-5f8367167d31245ff7d0;google-a02bae23b53b76bc24b2;google-d344a2586c54609b35e4;google-451240196901561c150d
DeLonghi Magnifica Evo (other),6,737.00,899.95,1,bing-78da8191124a859c8112;google-7eb494d8a25bff454d9e;google-04442529dc01aab8c0a5;google-e7d412d7eeea2e97dd30;google-9083303fcc2e5fd2dd1d;google-e0afe7f59d7d0969257e
Ninja Premier,6,599.00,599.99,5,bing-9d68fbbc86299d7cff85;bing-382cbbbfefdf99087fdb;bing-589afb42f21f096c2b0e;bing-43de8e4359ad1784cba0;google-0634ebee15cca5883518;google-40e8d2a541b7e7fb19db
DeLonghi La Specialista,5,679.00,1722.92,1,bing-efc7689c3bd5a37e534a;bing-cf7e0bab4fab9b646036;bing-8442d35127d53d9e6023;bing-8e7b383bc848c649b2a7;google-c0a29ed9e49032b51060
Breville Barista Express (other),4,689.99,699.99,0,bing-128ec43cf85c0da0a5fc;bing-cd11aaaefd5c25f214f5;bing-de5815903f1a66c03dd8;google-9a80fa64810512850360
DeLonghi Magnifica Start,4,579.99,769.00,0,bing-c38b56839ad995d22f18;bing-060842692eee942952b3;google-90f95eb7a3aaf756914d;google-3210de58f63aae1163cd
