record_id,provider,title,price_usd,merchant_display_text,ever_returned_in_five_validated_games,within_800_record_price,example_family,grinding_or_bean_to_cup_text,milk_froth_or_steam_text,pressure_marketing_15_or_20_bar,title_truncated_flag,merchant_aggregate_flag,numeric_only_merchant_field,alibaba_merchant_text,sponsored
bing-9d68fbbc86299d7cff85,bing,"Ninja Luxe Café Premier 3-In-1 Espresso Machine, Drip C…",599.00,Amazon.com,True,True,Ninja Premier,False,False,False,True,False,False,False,True
bing-07480f3860f81c3bf846,bing,"Espresso Machines With Grinder, 20 Bar Professio…",299.99,Target,False,True,unclassified by example rules,True,False,True,True,False,False,False,True
bing-b9b7a59bbbcb3df0040f,bing,"Bodum Bistro Electric Espresso Machine, Stainles…",399.99,Amazon.com,False,True,unclassified by example rules,False,False,False,True,False,False,False,True
bing-319049616d40eac8f983,bing,Philips 3300 Series Fully Automatic Espr…,530.00,Amazon.com,True,True,Philips 3300,False,False,False,True,False,False,False,True
bing-b962137b20d59540339b,bing,Philips 1200 Series Fully Automatic Espr…,454.99,Amazon.com,True,True,Philips 1200,False,False,False,True,False,False,False,True
bing-75167d27d9e7b7705731,bing,EUHOMY Espresso Machine With Grinder And Milk Froth…,210.54,Amazon.com,True,True,unclassified by example rules,True,True,False,True,False,False,False,True
bing-826018f7a2d5509c15e2,bing,Ninja Luxe Cafe Mini Espresso Maker With Grind…,449.99,Target,True,True,Ninja Mini (other),True,False,False,True,False,False,False,True
bing-b0b0640a5c59be533102,bing,Breville Barista Express Impress Espresso Machine…,649.95,Williams Sonoma,True,True,Breville Barista Express Impress,False,False,False,True,False,False,False,True
bing-128ec43cf85c0da0a5fc,bing,"Breville Barista Express Espresso Maker, Model BE…",699.95,Williams Sonoma,False,True,Breville Barista Express (other),False,False,False,True,False,False,False,True
bing-7b8c5d6573053e763784,bing,"VEVOR Espresso Machine With Grinder, 1…",259.99,VEVOR,False,True,unclassified by example rules,True,False,False,True,False,False,False,True
bing-bbda9ee931b5047e6b26,bing,"EUHOMY Espresso Machine With Grinder, 15 Bar Coffe…",240.00,Target,False,True,unclassified by example rules,True,False,True,True,False,False,False,True
bing-78da8191124a859c8112,bing,De'longhi Magnifica Evo Automatic Espresso Machin…,737.00,Amazon.com,False,True,DeLonghi Magnifica Evo (other),False,False,False,True,False,False,False,True
bing-d9b40824ac659c74f7b9,bing,Philips 3300 Fully Automatic Espresso …,899.99,Target,False,False,Philips 3300,False,False,False,True,False,False,False,True
bing-443396ca95ba379d7b72,bing,Stainless Steel Espresso Machine With Grinder & 20 …,309.99,Amazon.com,False,True,unclassified by example rules,True,False,False,True,False,False,False,True
bing-0cf24f81d351da49ed76,bing,Kitchenaid Fully Automatic Espresso …,1199.99,Amazon.com,False,False,unclassified by example rules,False,False,False,True,False,False,False,True
bing-bb6e2faa6e405495efa2,bing,"2-Cup Espresso Coffee Maker With Burr Grinder, 15-Bar P…",219.99,Home Depot,False,True,unclassified by example rules,True,False,True,True,False,False,False,True
bing-e9db694df748b75fa74c,bing,"Breville Barista Touch Espresso Maker, Silver",999.95,Williams Sonoma,False,False,Breville Barista Touch (other),False,False,False,False,False,False,False,True
bing-6109d59edb136f42c58d,bing,20 Bar Espresso Machines With Grinde…,299.99,Target,False,True,unclassified by example rules,True,False,True,True,False,False,False,True
bing-ecbf287c638e8bc5e48f,bing,Nespresso - Vertuo Next Premium Black Chrome & …,239.99,Nespresso US,False,True,Nespresso,False,False,False,True,False,False,False,True
bing-07838e525c9b32069dd4,bing,De'longhi Dinamica Plus Fully Automatic Espress…,1199.99,Amazon.com,False,False,unclassified by example rules,False,False,False,True,False,False,False,True
bing-fb03ce4c1a4af99606c7,bing,"COWSAR Espresso Machine With Grinder, 2025 Upgrad…",369.99,Amazon.com,False,True,unclassified by example rules,True,False,False,True,False,False,False,True
bing-6d40f0eb6ccb71d2d6f5,bing,Gevi 20 Bar Espresso Machine With Grinder …,359.99,Amazon.com,False,True,unclassified by example rules,True,False,True,True,False,False,False,True
bing-9c1b19126135d499f0d4,bing,Hanrose Espresso Machine With Grinder And Milk Froth…,319.79,Amazon.com,False,True,unclassified by example rules,True,True,False,True,False,False,False,True
bing-efc7689c3bd5a37e534a,bing,De'longhi La Specialista Arte Evo Espresso Machine Wit…,679.00,Amazon.com,False,True,DeLonghi La Specialista,False,False,False,True,False,False,False,True
bing-6d2c5f1927eefa5910e8,bing,"ZAFRO 20 Bar Espresso Machine With Grinder, Aut…",289.99,Target,False,True,unclassified by example rules,True,False,True,True,False,False,False,True
